iter	RMSE
422	385.6928982
423	385.6552384
424	385.6011256
425	385.4552209
426	385.3757932
427	385.2568089
428	385.1293552
429	385.1211602
430	385.1188932
431	385.0576778
432	384.9489198
433	384.843236
434	384.7626845
435	384.6572798
436	384.3720353
437	384.2993454
438	384.2430099
439	384.1585296
440	384.00787
441	383.9462957
442	383.8633639
443	383.7570063
444	383.7112338
445	383.6383497
446	383.6380218
447	383.6122961
448	383.5260264
449	383.5129671
450	383.3324033
451	383.2374897
452	383.1499316
453	383.070338
454	383.0130591
455	382.9328202
456	382.8632541
457	382.8627685
458	382.86241
459	382.6998344
460	382.6573567
461	382.6015889
462	382.1246313
463	382.0439105
464	382.0435124
465	381.6630703
466	381.6238266
467	381.572585
468	381.4551006
469	381.339765
470	381.302592
471	381.2029541
472	381.1240649
473	381.0762584
474	380.949909
475	380.8767978
476	380.8026774
477	380.6545696
478	380.5889292
479	380.5884286
480	380.4594501
481	380.4464005
482	380.3776369
483	380.2972869
484	380.2459464
485	380.1741458
486	380.0796214
487	380.0407931
488	379.970529
489	379.7087553
490	379.4659376
491	379.3735282
492	379.3361412
493	379.3132011
494	379.2499456
495	379.1798244
496	378.9796062
497	378.7787563
498	378.7448032
499	378.5956842
