iter	Passed	Remaining
397	718245	184072
398	719904	182231
399	721811	180452
400	723470	178612
401	725238	176799
402	727004	174986
403	728827	173186
404	730454	171341
405	732053	169490
406	733571	167621
407	735208	165782
408	737050	163989
409	738688	162151
410	740498	160351
411	742046	158495
412	743872	156699
413	745536	154869
414	747253	153052
415	748930	151226
416	750609	149401
417	752163	147553
418	753629	145689
419	755353	143876
420	757003	142050
421	758827	140257
422	760631	138460
423	762299	136638
424	763910	134807
425	765661	133002
426	767022	131130
427	769010	129366
428	770700	127551
429	772289	125721
430	774315	123962
431	775767	122111
432	777705	120337
433	779376	118522
434	781049	116708
435	782543	114868
436	784190	113052
437	785809	111233
438	787419	109413
439	789184	107616
440	790853	105805
441	792442	103985
442	793933	102153
443	795495	100332
444	797096	98517
445	798540	96684
446	800385	94900
447	801987	93087
448	803586	91275
449	805251	89472
450	806877	87665
451	808577	85866
452	810154	84055
453	811953	82268
454	813382	80444
455	815170	78656
456	816939	76867
457	818585	75066
458	820352	73277
459	821992	71477
460	823741	69687
461	825344	67885
462	826841	66075
463	828610	64288
464	830414	62504
465	832144	60714
466	834122	58942
467	835799	57148
468	837463	55354
469	839295	53572
470	840829	51770
471	842443	49975
472	844031	48179
473	845604	46383
474	847271	44593
475	849038	42808
476	850651	41016
477	852262	39225
478	853948	37438
479	855623	35650
480	857374	33867
481	859259	32088
482	861356	30316
483	863585	28548
484	865369	26763
485	867168	24980
486	868841	23192
487	870782	21412
488	872441	19625
489	874292	17842
490	876068	16058
491	877816	14273
492	879727	12491
493	881562	10707
494	883372	8922
495	885408	7140
496	887268	5355
497	889275	3571
498	891156	1785
499	893132	0
